D2,528118,water,5,N1,45,Reserved
D1,12345678,water,10,N1,45,Reserved
D1,12345678,bed,10,N1,45,Reserved
D3,12345678,bed,20,N2,22,Reserved
D3,12345678,water,14,N2,22,Reserved
D1,12345678,water,25,N1,45,Reserved
D2,528118,water,12,N2,22,Reserved
D2,528118,water,22,N4,12,Reserved
D4,809423,water,20,N4,12,Reserved
D3,12345678,water,18,N4,12,Reserved
D1,12345678,water,5,N4,12,Reserved
D3,12345678,water,15,N3,100,Reserved
D1,12345678,water,12,N3,100,Reserved
D3,12345678,water,5,N3,100,Reserved
D2,528118,water,3,N3,100,Reserved
D4,809423,water,2,N3,100,Reserved
D4,809423,bed,12,N2,22,Reserved
D1,12345678,water,28,N3,100,Reserved
D4,809423,water,24,N3,100,Reserved
D1,12345678,Rice,50,N4,12,Reserved
D2,528118,water,21,N3,100,Reserved
D4,809423,bed,12,N2,22,Reserved
D3,12345678,water,30,N3,100,Reserved
D2,528118,water,22,N3,100,Reserved
D1,12345678,water,8,N3,100,Reserved
D1,12345678,Rice,25,0,0,Available
