D2,528118,water,5,N1,45,Collected
D1,12345678,water,10,N1,45,Collected
D1,12345678,bed,10,N1,45,Collected
D3,12345678,bed,20,N2,22,Collected
D3,12345678,water,14,N2,22,Collected
D1,12345678,water,25,N1,45,Collected
D2,528118,water,12,N2,22,Collected
D2,528118,water,22,N4,12,Reserved
D4,809423,water,20,N4,12,Reserved
D3,12345678,water,18,N4,12,Reserved
D1,12345678,water,5,N4,12,Reserved
D3,12345678,water,15,N3,100,Reserved
D1,12345678,water,12,N3,100,Reserved
D3,12345678,water,5,N3,100,Reserved
D2,528118,water,3,N3,100,Reserved
D4,809423,water,2,N3,100,Reserved
D4,809423,bed,12,N2,22,Collected
D1,12345678,water,28,N3,100,Reserved
D4,809423,water,24,N3,100,Reserved
D1,12345678,Rice,50,N4,12,Reserved
D2,528118,water,21,N3,100,Reserved
D4,809423,bed,12,N2,22,Collected
D3,12345678,water,30,N3,100,Reserved
D2,528118,water,22,N3,100,Reserved
D1,12345678,water,8,N3,100,Reserved
D1,12345678,blanket,40,0,0,Available
D1,12345678,chocolate,28,0,0,Available
D2,528118,blankets,20,0,0,Available
D3,12345678,blankets,20,0,0,Available
D4,809423,chocolate,24,0,0,Available
D4,809423,bed,1,0,0,Available
D2,528118,bed,12,0,0,Available
D1,12345678,bed,9,0,0,Available
D3,12345678,bed,7,0,0,Available
D1,12345678,wheat,30,0,0,Available
D4,809423,wheat,24,0,0,Available
D3,12345678,wheat,15,0,0,Available
D2,528118,wheat,5,0,0,Available
